Jurisdictional Reference,Type,Description
Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Act 2015,Criminal,Amends the Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Act 1989 to strengthen the legal provisions for prevention of atrocities against Scheduled Castes and Scheduled Tribes.
Protection of Human Rights (Amendment) Act 2019,Criminal,Amends the Protection of Human Rights Act 1993 to provide for a strengthened human rights commission.
Anti-Hijacking Act 2016,Criminal,Provides for the prevention and punishment of hijacking.
Cinematograph Act 1952,Criminal,Provides for the certification of cinematograph films for exhibition and for regulating exhibitions by means of cinematographs.
Central Vigilance Commission Act 2003,Corporate,Provides for the constitution of the Central Vigilance Commission to inquire or cause inquiries to be conducted into offenses alleged to have been committed under the Prevention of Corruption Act 1988.
Central Goods and Services Tax Act 2017,Corporate,Consolidates multiple indirect taxes into a single tax to simplify the indirect tax structure.
Unlawful Activities (Prevention) Act 1967,Criminal,Provides for the effective prevention of certain unlawful activities of individuals and associations and for matters connected therewith.
Anti-Terrorism Act 2002,Criminal,Provides for the prevention and punishment of terrorist acts and for matters connected therewith.
Right to Education Act 2009,Criminal,Provides for free and compulsory education to all children of the age of six to fourteen years.
Mental Healthcare Act 2017,Criminal,"Provides for mental healthcare and services for persons with mental illness and to protect, promote, and fulfill the rights of such persons during the delivery of mental healthcare and services."
Consumer Protection Act 2019,Corporate,Provides for the protection of the interests of consumers and to establish authorities for the timely and effective administration and settlement of consumer disputes.
National Food Security Act 2013,Corporate,Provides for food and nutritional security in the human life cycle approach by ensuring access to adequate quantity of quality food at affordable prices.
Disaster Management Act 2005,Criminal,Provides for the effective management of disasters and for matters connected therewith or incidental thereto.
Prevention of Money Laundering (Amendment) Act 2012,Corporate,Amends the Prevention of Money Laundering Act 2002 to strengthen the provisions for combating money laundering and to provide for confiscation of property derived from money laundering.
Prohibition of Benami Property Transactions Act 1988,Corporate,Prohibits benami transactions and the right to recover property held benami.
Biological Diversity Act 2002,Corporate,"Provides for the conservation of biological diversity, sustainable use of its components, and fair and equitable sharing of the benefits arising out of the use of biological resources."
Geographical Indications of Goods (Registration and Protection) Act 1999,Corporate,Provides for the registration and better protection of geographical indications relating to goods.
Patents Act 1970,Corporate,Provides for the protection of patents and to encourage inventions and secure that they are worked on a commercial scale and to the fullest extent that is reasonably practicable.
Copyright Act 1957,Corporate,"Provides for the registration and protection of copyrights in literary, dramatic, musical, and artistic works."
Trade Marks Act 1999,Corporate,Provides for the registration and better protection of trade marks for goods and services and for the prevention of the use of fraudulent marks.
Designs Act 2000,Corporate,Consolidates and amends the law relating to the protection of designs.
Protection of Plant Varieties and Farmersâ€™ Rights Act 2001,Corporate,"Provides for the establishment of an effective system for the protection of plant varieties, the rights of farmers and plant breeders, and to encourage the development and cultivation of new varieties of plants."
Geographical Indications of Goods (Registration and Protection) Act 1999,Corporate,Provides for the registration and better protection of geographical indications relating to goods.
Patents Act 1970,Corporate,Provides for the protection of patents and to encourage inventions and secure that they are worked on a commercial scale and to the fullest extent that is reasonably practicable.
